problem,average_total_tardiness,std_total_tardiness,times_optimal_found_out_of_100,average_time_to_best_solution_seconds,average_number_of_generations,percent_average_deviation_from_optimal
20_02_02_02_001,147.0,0.0,100,53.7,4133.6,0.0
20_02_02_02_002,102.0,0.0,100,2.1,160.4,0.0
20_02_02_02_003,152.0,0.0,100,8.1,624.8,0.0
20_02_02_06_001,0.0,0.0,100,2.3,180.1,0.0
20_02_10_10_005,1517.6,2.5,16,273.1,20952.0,0.3
20_05_02_02_001,151.5,2.7,44,248.8,8070.7,1.7
20_05_02_02_002,111.0,0.0,100,90.0,2912.6,0.0
20_10_02_02_001,199.9,2.5,4,286.9,4559.0,2.5
20_10_10_10_005,739.0,0.0,100,12.7,201.6,0.0
25_02_02_02_001,163.0,0.0,100,9.5,713.2,0.0
25_05_02_02_001,160.4,3.17,3,297.2,9738.9,4.8
25_10_02_02_001,198.7,4.7,0,280.9,4394.1,14.2
25_10_10_10_005,1235.5,7.83,0,294.0,4600.4,2.8
