problem,mathematical_model_total_tardiness,mathematical_model_time_seconds,proposed_ga_total_tardiness,proposed_ga_time_seconds,time_saved_seconds,ga_time_as_percent_of_mathematical_model_time
20_02_02_02_001,147,67.2,147.0,53.7,13.5,79.91
20_02_02_02_002,102,20.43,102.0,2.1,18.33,10.28
20_02_02_02_003,152,50.46,152.0,8.1,42.36,16.05
20_02_02_06_001,0,19.63,0.0,2.3,17.33,11.72
20_02_10_10_005,1513,285.0,1517.6,273.1,11.9,95.82
20_05_02_02_001,149,348.1,151.5,248.8,99.3,71.47
20_05_02_02_002,111,134.74,111.0,90.0,44.74,66.8
20_10_02_02_001,195,379.35,199.9,286.9,92.45,75.63
20_10_10_10_005,739,62.05,739.0,12.7,49.35,20.47
25_02_02_02_001,163,30.03,163.0,9.5,20.53,31.64
25_05_02_02_001,153,541.85,160.4,297.2,244.65,54.85
25_10_02_02_001,174,651.91,198.7,280.9,371.01,43.09
25_10_10_10_005,1202,646.0,1235.5,294.0,352.0,45.51
